text,sentiment
mr speaker  i rise in opposition to the rules package that we have before us today   it is outrageous that my republican colleagues have placed before us a rules package that at best lacks integrity  and at worst is completely unethical   as the highest body of elected officials in our country  we should be held to the highest ethical standards   but instead  my republican colleagues have opted to put before us a rules package that actually lowers our ethics standards  so that they may ,0
mr speaker  i rise for a constitutional point of order   ,0
mr speaker  the resolution we are preparing to consider  the proposed rules for the 109th congress  in my judgment violates the united states constitution which we were just sworn to uphold and defend   it does so by allowing a very limited number of members  potentially only a handful  to constitute the house of representatives   article 1  section 5 of the constitution states that `` each house shall be the judge of the elections  returns and qualifications of its members  and a maj,0
mr speaker  consistent with the oath of office that i just took  i would request that the question of consideration be put to the body   ,0
mr speaker  on that i demand the yeas and nays   ,0
mr speaker  i rise in strong support of this balanced rules package   i want to speak particularly to the provisions regarding homeland security   to determine whether a proposed regime to oversee homeland security is appropriate  one can not just look at a flow chart   the simplest structure is not necessarily the best  nor is one that is unduly complex   one has to look at how a proposed structure will actually function and what it can and can not accomplish   the homeland jurisdictio,1
mr speaker  the chairman of the committee on standards of official conduct is correct when he says that ethics reform must be bipartisan and if the house is to have meaningful bipartisan ethics process  changes of this magnitude can be made  as they were in 1997  only after thoughtful  careful consideration on a bipartisan basis   there has been no effort to look at the rules changes on ethics in a bipartisan manner   in 1997 when i cochaired the committee on ethics reform along with bo,0
mr speaker  we are making a terrible mistake here today by changing the rule in terms of the provision that would simply require no action after a 45day period because  as the earlier speaker immediately preceding me indicated  what we will have done is change a nonpartisan committee that is based on a nonpartisan process into one that provides for a partisan veto over action where the behavior of an individual member or members is at question   that  i suggest and submit  is something t,0
mr speaker  i offer a privileged resolution  h res 5  and ask for its immediate consideration   ,1
mr speaker  for the purposes of debate only  i yield the customary 30 minutes to the gentlewoman from california  ms pelosi   or her designee  pending which i yield myself such time as i may consume   during consideration of the resolution  all time yielded is for the purpose of debate only   mr speaker  i rise in support of this rules package   i am also rising in support of the historic legislative agenda it will govern  for today marks the beginning of what historians will likel,1
mr speaker  as has been the case for a number of years  the rules package put forward by my republican colleagues continues to trample on the rights of the minority   it will do nothing to stop the abusive practices in this house such as the 3hour vote on the medicare bill in the middle of the night   in fact  it allows the speaker added discretion to reconsider votes that the republican majority loses   in addition  the new rules require an affirmative vote by the ethics committee befo,0
mr speaker  i yield myself such time as i may consume   i just want to say to the gentlewoman from rochester  new york  ms slaughter   that every single member of this institution  democrat and republican alike  is very concerned and focused on the integrity of this institution  and i believe that that is something which is an extraordinarily high priority for all of us   i believe that the package that we have coming before us is one which addresses many of the concerns that frankly ,1
mr speaker  i yield myself such time as i may consume   let me say after having heard from two of my committee on rules colleagues that i anxiously look forward to working with them in a bipartisan way to try to proceed with the deliberations in consideration of measures of this house   ,1
mr speaker  i yield myself such time as i may consume   i would like to respond to my very good friend from maryland by saying that i may not be as eloquent today as i was when i was in the minority  but i continue to share my very strong commitment to ensure the integrity and the behavior of members of this institution   i also will say as my friend said  it is very clear that the gentleman from colorado  mr hefley    chairman of the committee on standards of official conduct  has ma,1
mr speaker  i will be happy to respond to the gentleman   let me say we are in the midst of a discussion about ethics at this point   obviously  it is our goal to maintain the highest ethical standards   we have a law  which is actually a criminal law  which states that it is a violation of 18 us code 607 for the solicitation of campaign contributions from federal property   the idea behind this change that is included in this rules package is that members should not be required to ca,1
in any federal building whatsoever   on federal property is what the law says   it is a violation of the law   ,1
it is a violation of the law   ,1
mr speaker  i reserve the balance of my time   ,1
mr speaker  i ask unanimous consent that the chair may reduce to 5 minutes the minimum time for electronic voting on the motion to commit and the vote on the adoption of h res 5 if the votes immediately follow a 15minute vote  notwithstanding intervening proceedings attending the administration of the oath of office to memberselect   ,1
mr speaker  i ask unanimous consent that all members may have 5 legislative days within which to revise and extend their remarks on this rules package   ,1
mr speaker  i yield myself the balance of my time   mr speaker  we have a great rules package that is coming before us  a rules package which i believe is deserving of bipartisan support   the reason i say it is deserving of bipartisan support is that is the word that has been used by members on both sides of the aisle to describe exactly what we have been doing here and should be doing here   mr speaker  this package includes a number of very important provisions   it allows us to de,1
mr speaker  i am inserting for the record the following legislative history regarding the changes made by this resolution to rule x  along with supporting materials   legislative history to accompany changes to rule x rule x and the committee on homeland security  lt  p  gt   amp  nbsp   amp  nbsp   amp  nbsp  legislative history overall homeland security policy  the jurisdiction of the committee on homeland security over `` overall homeland security policy  is to be interpr,1
mr speaker  i thank the gentlewoman for yielding me time   the gentlewoman is correct  i currently serve on the committee on standards of official conduct   and despite what i read in the morning papers  the republican leadership is eliminating a major traditional ethics standard of the house   while we are relieved that the republican leadership did not go as far as they wanted to  i do not think we can be happy with the trend that is clearly downwards as it is today   the new rule mea,0
mr speaker  i am pleased that the rules package includes a provision that will make the homeland security committee a permanent committee   more importantly  we will be giving the committee real oversight and legislative jurisdiction   but i am disappointed that the majority has only given shared jurisdiction to the homeland security committee in some areas   this creates the potential for ongoing turf battles that the 911 commission warned against   i am also discouraged that the majori,0
mr speaker  i strongly oppose the changes in the house ethics rules that the republican majority is seeking to adopt today   the proposed republican rule changes would cripple the ethics process in the house and dramatically lower the bar for standards of official conduct   late yesterday  the republican majority in the house released the details of its rules package for the 109th congress   some of the newspapers reported this morning that the majority had abandoned its efforts to loosen ,0
